policy,seed,total_reward,final_revenue,units_sold,initial_inventory,sell_through_pct,spoilage_pct,mean_price,mean_discount_depth_pct,steps
q_learning,5000392,814431.4192760743,1013409.3397745407,100,100,100.0,0.0,11245.772206349737,41.50826069540018,22
q_learning,5000393,1618598.4687383145,1620635.7545017593,100,100,100.0,0.0,16510.935379599283,15.544263894827889,22
q_learning,5000394,1230103.598080401,1312191.8269020165,100,100,100.0,0.0,14154.982533990944,26.454683226800803,24
q_learning,5000395,1388972.7262189633,1440817.62414048,100,100,100.0,0.0,15956.22271607542,19.47016883445919,24
q_learning,5000396,1128254.1251927142,1237591.6306717684,100,100,100.0,0.0,12975.321013971186,32.57627904099265,17
q_learning,5000397,975252.9168195226,1121135.225035277,100,100,100.0,0.0,11942.935124516072,37.89943849189605,20
q_learning,5000398,1106307.472492009,1236270.1174752817,100,100,100.0,0.0,14785.658550972601,28.308284610966574,25
q_learning,5000399,1489314.062928499,1514202.6802754845,100,100,100.0,0.0,15782.600335684994,18.934106974494966,25
q_learning,5000400,680429.0473240865,941369.1509224268,100,100,100.0,0.0,11799.956526497157,39.99877207540794,23
q_learning,5000401,1609733.0356604129,1602298.3241197814,100,100,100.0,0.0,16419.902046206105,14.940275983435416,24
q_learning,5000402,1459341.3068197705,1503755.061820545,100,100,100.0,0.0,17961.26482415872,15.298788063438373,27
q_learning,5000403,850068.9804734252,1031006.6091858905,100,100,100.0,0.0,11240.304904869565,41.558563340906055,21
q_learning,5000404,1660589.2365159907,1648528.8157629499,100,100,100.0,0.0,20962.15897850769,11.85845126342315,30
q_learning,5000405,825442.2407606458,1026857.6327665373,100,100,100.0,0.0,10606.582542912927,44.88030755915028,21
q_learning,5000406,1481258.2160705237,1664859.3215678304,89,100,89.0,11.0,21184.164012654695,6.773127690922655,30
q_learning,5000407,1415171.496182524,1476778.2281788082,100,100,100.0,0.0,16769.38764116427,16.969781982235293,27
q_learning,5000408,1245123.2585350263,1317691.8911723294,100,100,100.0,0.0,14656.377928791608,24.034814877746044,25
q_learning,5000409,705028.9838417592,993466.2391309893,100,100,100.0,0.0,17253.213731748343,28.34481088604972,29
q_learning,5000410,1555595.321248221,1552946.6131603238,100,100,100.0,0.0,16358.295078893172,15.300643945198988,28
